Origen,Distancia_km
4.5786504, -74.086562,11.54
4.5592849, -74.1208553,12.57
4.5584485, -74.1190636,12.92
4.5611504, -74.1186411,12.96
4.5724471, -74.0990959,12.71
4.5810314, -74.1069432,10.09
4.5894462, -74.1116264,10.14
4.5974205, -74.0894898,10.36
4.6046684, -74.1009857,7.36
4.6010187, -74.0996122,9.42
4.6457583, -74.1171062,2.01
4.599414, -74.1492843,9.66
4.6119355, -74.207525,14.96
4.9147444, -74.0291268,36.13
4.7082774, -74.1311129,9.99
4.7153071, -74.1289738,11.23
4.7236599, -74.1357177,12.75
4.7186359, -74.1261293,11.73
4.709247, -74.119822,10.07
4.6994448, -74.112788,8.59
4.7041417, -74.1072844,9.96
4.6909635, -74.1138794,7.47
4.6813685, -74.1125603,7.07
4.6805841, -74.1125722,6.21
4.6757447, -74.1081396,5.11
4.5828584, -74.1898781,17.55
4.5905452, -74.2220752,22.33
4.5804587, -74.2263511,20.15
4.5944248, -74.1978762,14.19
4.5878942, -74.2185058,21.57
4.6131662, -74.2198356,20.86
4.6056529, -74.2127852,20.45
4.6162699, -74.1896259,12.67
4.6869797, -74.031199,13.75
4.6183892, -74.1276357,5.86
4.6339831, -74.1256661,4.21
4.7497312, -74.0644011,15.33
4.744439, -74.0328008,19.74
4.7342313, -74.0313149,19.02
4.7273485, -74.0368954,17.53
4.703361, -74.0316418,14.23
4.7164119, -74.0426578,15.49
4.6755647, -74.0627723,10.32
4.6412738, -74.0749442,6.13
4.6316575, -74.070641,6.25
4.6492348, -74.075433,5.8
4.6449168, -74.0848387,3.89
4.6287871, -74.1783045,11.76
4.6354838, -74.1734899,10.68
4.6370314, -74.1515781,8.24
4.6348379, -74.1489913,7.72
4.6450084, -74.139416,7.12
4.6444973, -74.1374037,6.89
4.6479706, -74.1369964,5.62
4.6531864, -74.1362822,5.84
4.6388881, -74.1277351,6.19
4.7289876, -74.1194195,13.65
4.7190657, -74.1094902,11.6
4.7026383, -74.0914844,8.8
